mean_fit_time,mean_score_time,mean_test_score,param_Vectorizer__max_df,param_Vectorizer__max_features,param_Vectorizer__min_df,param_Vectorizer__ngram_range,params,rank_test_score,split0_test_score,std_fit_time,std_score_time,std_test_score
132.47787475585938,12.619987964630127,0.8222222222222222,0.9,10000,0.05,"(1, 2)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 2)}",26,0.8222222222222222,0.0,0.0,0.0
149.6886546611786,13.71700119972229,0.7777777777777778,0.9,10000,0.05,"(1, 3)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 3)}",50,0.7777777777777778,0.0,0.0,0.0
168.69491529464722,15.095959186553955,0.7888888888888889,0.9,10000,0.05,"(1, 4)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 4)}",47,0.7888888888888889,0.0,0.0,0.0
118.04979848861694,12.92803430557251,0.8111111111111111,0.9,10000,0.1,"(1, 2)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 2)}",32,0.8111111111111111,0.0,0.0,0.0
138.44192266464233,13.68406343460083,0.8444444444444444,0.9,10000,0.1,"(1, 3)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 3)}",7,0.8444444444444444,0.0,0.0,0.0
161.7014763355255,14.474990606307983,0.8111111111111111,0.9,10000,0.1,"(1, 4)","{'Vectorizer__max_df': 0.9, 'Vectorizer__min_df': 0.1, 'Vectorizer__max_features': 10000, 'Vectorizer__ngram_range': (1, 4)}",32,0.8111111111111111,0.0,0.0,0.0
114.5184473991394,13.145012378692627,0.8444444444444444,0.95,1000,0,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 2)}",7,0.8444444444444444,0.0,0.0,0.0
131.10042428970337,13.321002006530762,0.8555555555555555,0.95,1000,0,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 3)}",3,0.8555555555555555,0.0,0.0,0.0
162.48893117904663,15.527995586395264,0.8333333333333334,0.95,1000,0,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 4)}",16,0.8333333333333334,0.0,0.0,0.0
123.59294128417969,12.974026918411255,0.8555555555555555,0.95,1000,0.05,"(1, 2)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 2)}",3,0.8555555555555555,0.0,0.0,0.0
141.72195029258728,15.079945802688599,0.8333333333333334,0.95,1000,0.05,"(1, 3)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 3)}",16,0.8333333333333334,0.0,0.0,0.0
164.389981508255,14.721943616867065,0.8111111111111111,0.95,1000,0.05,"(1, 4)","{'Vectorizer__max_df': 0.95, 'Vectorizer__min_df': 0.05, 'Vectorizer__max_features': 1000, 'Vectorizer__ngram_range': (1, 4)}",32,0.8111111111111111,0.0,0.0,0.0
