doc,score,word,importance
0,-0.22345900672634722,remanded,0.22345900672634722
0,-0.1250812682657876,Respondent,0.1250812682657876
0,0.08099557114261961,Petitioners,0.08099557114261961
0,-0.07418559006353156,respondent,0.07418559006353156
0,0.049414548345702136,Brief,0.049414548345702136
0,0.02462233508231618,perpetuate,0.02462233508231618
0,-0.008273543416246623,consists,0.008273543416246623
0,-0.005588529355763523,36,0.005588529355763523
0,-0.0053516031769864835,24a,0.0053516031769864835
0,-0.0038101663634045376,Constitution,0.0038101663634045376
1,-0.1502175631142637,remand,0.1502175631142637
1,-0.0803175516021733,respondent,0.0803175516021733
1,0.07890949657613221,petitioners,0.07890949657613221
1,-0.05933027045524749,Respondent,0.05933027045524749
1,0.023231518316288207,limitation,0.023231518316288207
1,0.020970276834700274,limiting,0.020970276834700274
1,0.015525123102683976,arrest,0.015525123102683976
1,0.015204113838106019,passenger,0.015204113838106019
1,-0.011760004574702757,window,0.011760004574702757
1,-0.008952902568641792,could,0.008952902568641792
2,0.2050257889303692,limit,0.2050257889303692
2,0.12880135006482332,Petitioners,0.12880135006482332
2,0.12072418969042799,petitioners,0.12072418969042799
2,-0.07640298537309181,F,0.07640298537309181
2,0.05659521923858595,added,0.05659521923858595
2,0.05302328773716353,consider,0.05302328773716353
2,0.04965130584600133,fails,0.04965130584600133
2,-0.046870757946112854,consistently,0.046870757946112854
2,0.04409701641352178,interpreting,0.04409701641352178
2,0.04178734225606562,among,0.04178734225606562
3,0.2211673188887397,August,0.2211673188887397
3,-0.19710820938325865,Respondent,0.19710820938325865
3,0.16984664087427087,petitioners,0.16984664087427087
3,0.1344539008957693,Circuit,0.1344539008957693
3,0.13209188057587132,consider,0.13209188057587132
3,0.12306690033899416,Petitioners,0.12306690033899416
3,0.11581994635723687,Inc,0.11581994635723687
3,-0.07244095148520246,respondent,0.07244095148520246
3,0.025584559010143282,responded,0.025584559010143282
3,0.02549303448289962,made,0.02549303448289962
4,0.24965291109468696,Petitioner,0.24965291109468696
4,-0.07170980584150777,Tr,0.07170980584150777
4,0.06934942289870573,limiting,0.06934942289870573
4,0.06779264562410214,among,0.06779264562410214
4,0.06562731572899538,Code,0.06562731572899538
4,0.061627763980792,limitations,0.061627763980792
4,0.059121366292395644,Consider,0.059121366292395644
4,0.053829885089281375,limit,0.053829885089281375
4,0.04967674631325882,primary,0.04967674631325882
4,-0.019122659602042485,F,0.019122659602042485
5,0.7138195622667278,Petitioners,0.7138195622667278
5,0.10012346432360288,Brief,0.10012346432360288
5,0.07189622411385908,considered,0.07189622411385908
5,0.048484391790950564,Code,0.048484391790950564
5,0.04171656333718503,invalidating,0.04171656333718503
5,0.036618728334326445,light,0.036618728334326445
5,-0.022057900793160713,made,0.022057900793160713
5,-0.020276791480046744,way,0.020276791480046744
5,-0.018456551397983894,person,0.018456551397983894
5,-0.007294506851071625,consist,0.007294506851071625
6,0.20764421685066528,Petitioners,0.20764421685066528
6,0.18035852626166596,arms,0.18035852626166596
6,0.1344683620967284,petitioners,0.1344683620967284
6,-0.10062472378777643,respondent,0.10062472378777643
6,0.0415605839951048,eapons,0.0415605839951048
6,-0.03724240168076314,Respondent,0.03724240168076314
6,0.035462240197735896,expressly,0.035462240197735896
6,0.0354108534567775,looks,0.0354108534567775
6,0.008360121196435491,designed,0.008360121196435491
6,-0.005402785525244925,Tr,0.005402785525244925
7,0.06623120690256248,Petitioners,0.06623120690256248
7,-0.04806298180193002,proceedings,0.04806298180193002
7,-0.045590211498477654,proceed,0.045590211498477654
7,0.045020674326474025,Brief,0.045020674326474025
7,0.03258002966096376,argue,0.03258002966096376
7,-0.02987489221699813,remands,0.02987489221699813
7,0.029018511092367246,obtained,0.029018511092367246
7,-0.02600144121889923,way,0.02600144121889923
7,-0.025773601015031927,remanded,0.025773601015031927
7,-0.022141373289580553,remanding,0.022141373289580553
8,-0.27086857455532604,remand,0.27086857455532604
8,0.15526234919636828,Act,0.15526234919636828
8,0.14600286591524494,York,0.14600286591524494
8,0.14317729152775,precludes,0.14317729152775
8,0.12902419398447254,consider,0.12902419398447254
8,0.12837791672326676,Michigan,0.12837791672326676
8,0.11810330249433407,2,0.11810330249433407
8,0.1090751351667818,resolve,0.1090751351667818
8,0.048677680685335394,F,0.048677680685335394
8,-0.0390630559856095,proceedings,0.0390630559856095
9,-0.24743403907442726,remand,0.24743403907442726
9,0.07864992651044976,Petitioner,0.07864992651044976
9,-0.0772203557148464,Respondent,0.0772203557148464
9,-0.057978705832973966,Tr,0.057978705832973966
9,0.050882968447692675,limit,0.050882968447692675
9,0.03154962107054697,bears,0.03154962107054697
9,-0.024278502547208165,counsel,0.024278502547208165
9,-0.01449875235941671,Although,0.01449875235941671
9,-0.00887762814151845,majority,0.00887762814151845
9,-0.008589242254340603,31,0.008589242254340603
10,-0.13294035091955364,remanded,0.13294035091955364
10,-0.0907153079981116,Respondents,0.0907153079981116
10,-0.07577119851819943,respondents,0.07577119851819943
10,0.028416200816854524,intent,0.028416200816854524
10,0.027567779066179594,3,0.027567779066179594
10,-0.008239260852075127,Brief,0.008239260852075127
10,0.007814967661056558,above,0.007814967661056558
10,-0.0058843680489432774,proceeded,0.0058843680489432774
10,-0.0017797379551629656,proceedings,0.0017797379551629656
10,-0.0013112350254349274,located,0.0013112350254349274
11,-0.27757501028055276,Respondents,0.27757501028055276
11,0.12899713970130866,risk,0.12899713970130866
11,0.12373942656938634,attempt,0.12373942656938634
11,0.12033747246174098,Circuit,0.12033747246174098
11,0.11628705513860634,Among,0.11628705513860634
